,Term,LoanStatus,BorrowerAPR,BorrowerRate,ProsperRating,ListingCategory,BorrowerState,Occupation,EmploymentStatus,IncomeRange,StatedMonthlyIncome,LoanOriginalAmount,LoanOriginationDate,MonthlyLoanPayment,LoanOriginationYear
248,36,Completed,0.22593,0.201,C,Debt Consolidation,FL,Administrative Assistant,Full-time,"$50,000-74,999",4333.333333,1500,2009-11-04,55.82,2009
253,36,Completed,0.31053,0.275,D,Debt Consolidation,IL,Other,Employed,"$25,000-49,999",2583.333333,5000,2010-10-25,205.47,2010
255,36,Completed,0.26079,0.2379,D,Other,AL,Computer Programmer,Full-time,"$25,000-49,999",2083.333333,3000,2010-01-15,117.37,2010
260,36,non-remittance,0.35132,0.3149,E,Debt Consolidation,PA,Professional,Employed,"$25,000-49,999",2666.666667,6000,2011-10-17,259.63,2011
262,36,non-remittance,0.33553,0.2958,E,Debt Consolidation,MO,Police Officer/Correction Officer,Employed,"$25,000-49,999",3500.0,2500,2012-05-16,105.55,2012
265,36,Completed,0.35797,0.3177,HR,Debt Consolidation,CO,Retail Management,Employed,"$25,000-49,999",2750.0,4000,2012-07-03,173.71,2012
266,36,non-remittance,0.35797,0.3177,HR,Debt Consolidation,VA,Other,Employed,"$25,000-49,999",3750.0,4000,2012-06-01,173.71,2012
267,36,Completed,0.35643,0.3199,E,Debt Consolidation,MD,Other,Employed,"$50,000-74,999",5000.0,7500,2011-06-22,326.62,2011
269,36,Completed,0.37402,0.3495,HR,Debt Consolidation,OH,Other,Full-time,"$25,000-49,999",3958.333333,2500,2010-05-20,113.02,2010
280,36,Completed,0.35797,0.3177,HR,Taxes,CA,Engineer - Mechanical,Employed,"$75,000-99,999",6666.666667,4000,2012-08-30,173.71,2012
283,36,Completed,0.16056,0.139,A,Debt Consolidation,TX,Teacher,Employed,"$25,000-49,999",3750.0,4500,2011-09-07,153.58,2011
284,36,non-remittance,0.22456,0.1874,C,Medical/Dental,NC,Accountant/CPA,Employed,"$50,000-74,999",6000.0,7000,2012-04-12,255.67,2012
287,36,Completed,0.2951,0.2599,D,Other,FL,Dentist,Employed,"$100,000+",10000.0,10000,2011-11-30,402.85,2011
292,36,Completed,0.32333,0.2839,E,Debt Consolidation,NJ,Professional,Employed,"$50,000-74,999",5000.0,4000,2012-08-08,166.3,2012
297,36,non-remittance,0.26681,0.2287,D,Debt Consolidation,KY,Other,Full-time,"$1-24,999",2000.0,5025,2012-03-12,194.18,2012
302,36,non-remittance,0.28574,0.2625,D,Debt Consolidation,TX,Sales - Retail,Full-time,"$50,000-74,999",4183.333333,2500,2010-06-14,101.06,2010
303,36,non-remittance,0.30532,0.2699,D,Debt Consolidation,CA,Architect,Self-employed,"$25,000-49,999",2500.0,4000,2011-02-16,163.28,2011
305,36,Completed,0.38486,0.3435,E,Auto,KS,Other,Employed,"$25,000-49,999",2916.666667,1500,2010-09-21,67.3,2010
309,36,Completed,0.16056,0.139,A,Other,NY,Analyst,Employed,"$50,000-74,999",5250.0,15000,2011-09-27,511.94,2011
319,36,Completed,0.31053,0.275,D,Debt Consolidation,AL,Executive,Employed,"$100,000+",8750.0,7500,2010-11-18,308.2,2010
328,36,non-remittance,0.35797,0.3177,HR,Debt Consolidation,OH,Nurse (LPN),Employed,"$50,000-74,999",5475.0,4000,2012-10-26,173.71,2012
335,36,Completed,0.35797,0.3177,HR,Other,NJ,Other,Not employed,Not employed,0.0,2000,2012-03-27,86.85,2012
342,36,non-remittance,0.2951,0.2599,D,Debt Consolidation,TN,Other,Employed,"$25,000-49,999",2414.5,2000,2011-03-07,80.57,2011
344,36,non-remittance,0.09844,0.095,AA,Debt Consolidation,MD,Medical Technician,Full-time,"$25,000-49,999",3000.0,5000,2009-12-04,160.16,2009
353,12,Completed,0.28918,0.19,D,Other,GA,Professional,Employed,"$100,000+",15000.0,2000,2011-12-22,184.31,2011
354,36,Completed,0.37699,0.34,HR,Business,CO,Truck Driver,Self-employed,"$50,000-74,999",4166.666667,2500,2010-11-26,111.68,2010
360,12,Completed,0.34105,0.2499,D,Auto,MN,Professional,Employed,"$50,000-74,999",4333.333333,3000,2011-07-06,285.12,2011
361,36,Completed,0.32576,0.2899,E,Debt Consolidation,CA,Clerical,Full-time,"$25,000-49,999",3500.0,4500,2011-05-18,188.55,2011
363,36,Completed,0.35797,0.3177,HR,Vacation,NM,Executive,Employed,"$25,000-49,999",3750.0,4000,2012-02-16,173.71,2012
371,36,Completed,0.16005,0.1385,B,Other,OH,Computer Programmer,Full-time,"$50,000-74,999",6166.666667,4000,2010-02-26,136.42,2010
381,36,Completed,0.35643,0.3199,E,Business,CA,Other,Employed,"$75,000-99,999",6666.666667,7500,2011-06-14,326.62,2011
385,12,Completed,0.31368,0.2343,E,Business,OK,Retail Management,Employed,"$75,000-99,999",6666.666667,4000,2012-05-11,377.14,2012
390,36,Completed,0.30532,0.2699,D,Other,CT,Professional,Self-employed,"$100,000+",12500.0,7000,2011-07-20,285.74,2011
393,36,Completed,0.11296,0.092,A,Debt Consolidation,OK,Professional,Full-time,"$100,000+",16666.666667,4700,2010-07-12,149.9,2010
396,60,Completed,0.23718,0.2124,B,Debt Consolidation,GA,Tradesman - Electrician,Employed,"$25,000-49,999",2916.666667,11000,2012-09-21,299.07,2012
397,60,non-remittance,0.32393,0.2969,E,Medical/Dental,FL,Professional,Full-time,"$50,000-74,999",4166.666667,4000,2013-04-23,128.65,2013
406,36,non-remittance,0.34915,0.325,D,Home Improvement,NY,Architect,Full-time,"$75,000-99,999",8083.333333,8000,2010-02-26,350.66,2010
407,60,Completed,0.35838,0.3304,E,Debt Consolidation,MI,Computer Programmer,Employed,"$75,000-99,999",7083.333333,4000,2012-03-19,136.98,2012
408,12,Completed,0.17969,0.1224,B,Debt Consolidation,CA,Executive,Employed,"$100,000+",8333.333333,6950,2012-07-18,618.28,2012
411,36,Completed,0.10645,0.103,AA,Debt Consolidation,ID,Engineer - Chemical,Full-time,"$100,000+",8750.0,20000,2010-02-26,648.16,2010
414,36,Completed,0.1322,0.111,A,Debt Consolidation,IL,Computer Programmer,Full-time,"$50,000-74,999",6083.333333,10000,2011-11-14,327.86,2011
415,36,Completed,0.38058,0.3435,E,Debt Consolidation,AZ,Professional,Employed,"$50,000-74,999",4333.333333,7500,2010-09-10,336.52,2010
420,36,Completed,0.25013,0.2124,C,Debt Consolidation,WV,Construction,Employed,"$100,000+",10000.0,9000,2013-08-14,340.19,2013
422,36,Completed,0.13271,0.1115,A,Debt Consolidation,TN,Analyst,Employed,"$75,000-99,999",6666.666667,10000,2010-10-28,328.1,2010
424,36,non-remittance,0.28851,0.2499,D,Other,ID,Other,Employed,"$25,000-49,999",2916.666667,15000,2012-05-17,596.32,2012
425,36,Completed,0.36438,0.34,C,Debt Consolidation,OH,Administrative Assistant,Full-time,"$25,000-49,999",2750.0,2500,2009-11-09,111.68,2009
428,36,non-remittance,0.35643,0.3199,E,Debt Consolidation,NV,Other,Employed,"$100,000+",11429.583333,7500,2011-03-18,326.62,2011
436,36,non-remittance,0.30951,0.274,D,Business,TN,Executive,Full-time,"$25,000-49,999",3033.333333,7500,2010-11-30,307.8,2010
438,36,non-remittance,0.34577,0.3058,E,Debt Consolidation,TX,Attorney,Employed,"$75,000-99,999",6250.0,4000,2012-01-24,171.08,2012
441,36,non-remittance,0.35643,0.3199,E,Business,WA,Other,Employed,"$25,000-49,999",2666.666667,7500,2011-05-04,326.62,2011
449,36,Completed,0.35797,0.3177,HR,Home Improvement,AR,Truck Driver,Employed,"$50,000-74,999",5416.666667,4000,2012-09-28,173.71,2012
451,36,Completed,0.18986,0.1609,B,Debt Consolidation,VA,Administrative Assistant,Employed,"$25,000-49,999",2884.583333,7000,2011-11-23,246.41,2011
458,60,Completed,0.22908,0.2045,C,Debt Consolidation,MN,Engineer - Mechanical,Employed,"$50,000-74,999",5000.0,7000,2013-11-14,187.21,2013
459,36,Completed,0.202,0.1799,B,Debt Consolidation,SC,Other,Employed,"$25,000-49,999",3133.333333,13500,2011-09-07,487.99,2011
460,60,Completed,0.25718,0.2319,C,Debt Consolidation,OK,Doctor,Employed,"$75,000-99,999",7500.0,10000,2013-07-22,283.0,2013
466,36,Completed,0.17359,0.1449,B,Medical/Dental,WA,Police Officer/Correction Officer,Full-time,"$25,000-49,999",3083.333333,2500,2012-03-20,86.04,2012
470,60,non-remittance,0.27554,0.2498,C,Debt Consolidation,PA,Professional,Employed,"$1-24,999",1916.666667,10000,2012-09-11,293.4,2012
486,36,Completed,0.22872,0.1949,C,Other,MO,Nurse (RN),Employed,"$75,000-99,999",6500.0,14584,2011-03-22,538.21,2011
489,36,non-remittance,0.2974,0.274,D,Debt Consolidation,MD,Other,Full-time,"$50,000-74,999",5416.666667,5000,2010-01-28,205.2,2010
492,12,Completed,0.17493,0.1177,B,Debt Consolidation,NV,Pilot - Private/Commercial,Employed,"$100,000+",8500.0,4000,2013-02-20,354.96,2013
493,36,non-remittance,0.35797,0.3177,HR,Debt Consolidation,NJ,Other,Other,"$25,000-49,999",3750.0,4000,2012-04-17,173.71,2012
497,36,Completed,0.31053,0.275,D,Business,WA,Other,Retired,"$50,000-74,999",6200.0,5000,2010-08-24,205.47,2010
501,36,non-remittance,0.24807,0.21,HR,Other,OK,Sales - Commission,Full-time,"$25,000-49,999",2500.0,1000,2010-06-11,37.68,2010
512,36,Completed,0.15355,0.15,AA,Home Improvement,VA,Pharmacist,Full-time,"$100,000+",9166.666667,15000,2010-07-28,519.98,2010
522,36,Completed,0.24822,0.2255,C,Other,GA,Teacher,Full-time,"$50,000-74,999",5000.0,5000,2010-06-08,192.38,2010
523,36,Completed,0.31053,0.275,D,Other,MI,Professional,Employed,"$25,000-49,999",4125.0,3000,2010-11-16,123.28,2010
525,36,Completed,0.2951,0.2599,D,Debt Consolidation,PA,Other,Employed,"$75,000-99,999",6250.0,10000,2011-10-31,402.85,2011
527,36,Completed,0.36783,0.3269,HR,Debt Consolidation,CA,Professional,Employed,"$50,000-74,999",5916.666667,1500,2010-11-23,65.91,2010
531,12,Completed,0.18526,0.1279,B,Medical/Dental,TN,Executive,Full-time,"$50,000-74,999",5666.666667,2000,2012-08-31,178.44,2012
537,36,Completed,0.35643,0.3199,E,Debt Consolidation,NH,Professional,Employed,"$25,000-49,999",3500.0,6290,2011-05-18,273.9,2011
543,36,non-remittance,0.37453,0.35,HR,Home Improvement,IL,Truck Driver,Full-time,"$50,000-74,999",4166.666667,3000,2010-01-26,135.71,2010
545,36,Completed,0.25886,0.236,C,Home Improvement,FL,Other,Full-time,"$25,000-49,999",2833.333333,21500,2009-11-04,839.0,2009
551,36,Completed,0.29254,0.2574,D,Debt Consolidation,CO,Truck Driver,Employed,"$25,000-49,999",2083.333333,4000,2011-10-12,160.61,2011
553,36,Completed,0.28974,0.2511,D,Debt Consolidation,FL,Administrative Assistant,Employed,"$50,000-74,999",4416.666667,10000,2011-12-22,398.18,2011
561,36,Completed,0.25781,0.2199,D,Taxes,TX,Other,Employed,"$50,000-74,999",6000.0,3200,2013-04-10,122.19,2013
565,60,Completed,0.24856,0.2235,D,Debt Consolidation,CO,Homemaker,Self-employed,"$75,000-99,999",6250.0,10000,2013-11-27,278.18,2013
567,36,Completed,0.2832,0.26,HR,Home Improvement,IN,Engineer - Mechanical,Full-time,"$25,000-49,999",3416.666667,2100,2009-11-09,84.61,2009
571,36,Completed,0.35643,0.3199,E,Debt Consolidation,GA,Retail Management,Employed,"$50,000-74,999",4500.0,7500,2011-01-31,326.62,2011
575,60,Completed,0.32321,0.2962,E,Debt Consolidation,FL,Truck Driver,Employed,"$25,000-49,999",3083.333333,2100,2013-01-17,67.45,2013
584,12,Completed,0.24148,0.1434,C,Motorcycle,CA,Analyst,Employed,"$50,000-74,999",6000.0,4000,2012-03-02,359.79,2012
588,36,Completed,0.13413,0.1129,A,Debt Consolidation,IL,Clerical,Employed,"$50,000-74,999",4916.666667,25000,2011-09-30,821.91,2011
591,60,Completed,0.17849,0.1551,A,Debt Consolidation,TX,Analyst,Employed,"$75,000-99,999",7083.333333,13000,2012-07-18,312.76,2012
596,36,Completed,0.28851,0.2499,D,Other,CA,Nurse (RN),Employed,"$50,000-74,999",4541.666667,15000,2012-05-08,596.32,2012
598,36,Completed,0.35643,0.3199,E,Debt Consolidation,TX,Computer Programmer,Employed,"$50,000-74,999",6180.0,7000,2011-08-16,304.84,2011
600,36,Completed,0.33097,0.295,D,Other,WA,Executive,Employed,"$75,000-99,999",7916.666667,3500,2011-01-11,147.62,2011
607,60,non-remittance,0.35097,0.3232,E,Home Improvement,MO,Accountant/CPA,Employed,"$50,000-74,999",5500.0,4000,2012-11-20,135.17,2012
608,36,Completed,0.07439,0.071,AA,Home Improvement,FL,Attorney,Full-time,"$100,000+",8833.333333,2500,2010-06-30,77.31,2010
613,36,Completed,0.12528,0.0974,A,Debt Consolidation,NY,Other,Employed,"$100,000+",13333.333333,20500,2011-12-29,658.98,2011
617,36,Completed,0.17069,0.149,B,Auto,NJ,Truck Driver,Employed,"$25,000-49,999",3333.333333,3500,2010-12-30,121.16,2010
623,36,non-remittance,0.29588,0.2725,D,Debt Consolidation,OR,Other,Part-time,"$25,000-49,999",2500.0,5000,2010-05-18,204.8,2010
627,36,Completed,0.33051,0.2909,E,Debt Consolidation,NJ,Other,Employed,"$1-24,999",1666.666667,2500,2012-08-31,104.89,2012
634,36,Completed,0.34887,0.3125,HR,Business,MO,Other,Self-employed,"$25,000-49,999",3500.0,4000,2011-10-06,172.56,2011
645,36,Completed,0.21372,0.1768,B,Taxes,AL,Professional,Employed,"$100,000+",11250.0,15000,2012-04-24,539.88,2012
656,36,Completed,0.22135,0.199,C,Home Improvement,FL,Other,Retired,"$50,000-74,999",5000.0,2500,2010-02-26,92.78,2010
658,60,Completed,0.10878,0.0869,AA,Debt Consolidation,NJ,Analyst,Employed,"$100,000+",10000.0,10000,2013-07-10,206.08,2013
675,60,Completed,0.32989,0.3027,D,Household Expenses,OH,Skilled Labor,Employed,"$25,000-49,999",2083.333333,7000,2012-01-11,227.64,2012
677,60,Completed,0.23052,0.2059,C,Debt Consolidation,NJ,Accountant/CPA,Employed,"$100,000+",12083.333333,25000,2013-05-28,670.58,2013
683,36,Completed,0.25227,0.2295,C,Auto,LA,Tradesman - Electrician,Full-time,"$75,000-99,999",7666.666667,16000,2010-01-14,618.94,2010
688,36,Completed,0.30532,0.2699,D,Other,WA,Other,Not employed,Not employed,0.0,2500,2011-07-26,102.05,2011
703,36,Completed,0.07479,0.0714,AA,Debt Consolidation,FL,Administrative Assistant,Part-time,"$1-24,999",1666.666667,1000,2010-06-04,30.94,2010
707,36,non-remittance,0.25013,0.2124,C,Debt Consolidation,WA,Executive,Employed,"$75,000-99,999",6500.0,15000,2013-02-11,566.98,2013
710,36,Completed,0.15803,0.1365,B,Business,GA,Professional,Employed,"$100,000+",9083.333333,15000,2010-09-24,0.0,2010
717,36,Completed,0.37453,0.35,HR,Debt Consolidation,MO,Tradesman - Mechanic,Full-time,"$75,000-99,999",6250.0,4000,2010-06-01,176.81,2010
718,36,non-remittance,0.18725,0.1509,B,Debt Consolidation,IL,Police Officer/Correction Officer,Employed,"$25,000-49,999",2715.666667,10000,2013-07-02,347.09,2013
720,36,Completed,0.08331,0.0799,AA,Debt Consolidation,GA,Other,Employed,"$100,000+",10000.0,14000,2011-07-29,438.64,2011
724,36,Completed,0.25998,0.2371,C,Debt Consolidation,CA,Computer Programmer,Full-time,"$75,000-99,999",6250.0,4500,2009-11-03,175.86,2009
726,36,Completed,0.11766,0.0899,A,Home Improvement,NC,Police Officer/Correction Officer,Employed,"$25,000-49,999",3500.0,6000,2012-02-28,190.77,2012
727,12,Completed,0.20784,0.1304,C,Debt Consolidation,CA,Accountant/CPA,Employed,"$25,000-49,999",2625.0,2000,2012-05-24,178.67,2012
728,36,Completed,0.39153,0.35,E,Business,PA,Professional,Self-employed,"$75,000-99,999",7083.333333,1000,2009-08-28,45.24,2009
745,36,Completed,0.22135,0.199,C,Debt Consolidation,NE,Analyst,Full-time,"$50,000-74,999",4166.666667,4000,2010-05-13,148.45,2010
751,36,Completed,0.09744,0.094,AA,Business,GA,Professional,Full-time,"$75,000-99,999",6516.666667,6000,2009-10-15,191.92,2009
752,36,Completed,0.15833,0.1299,A,Debt Consolidation,CA,Truck Driver,Self-employed,"$100,000+",12500.0,3500,2013-07-19,117.91,2013
753,36,Completed,0.34731,0.3073,E,Debt Consolidation,VA,Sales - Commission,Employed,"$25,000-49,999",2250.0,4000,2012-01-10,171.41,2012
754,36,Completed,0.12528,0.0974,A,Business,WA,Professional,Employed,"$25,000-49,999",2583.333333,10000,2012-10-24,321.45,2012
757,60,Completed,0.16289,0.149,A,Home Improvement,FL,Doctor,Employed,"$100,000+",12500.0,10170,2011-07-08,241.42,2011
760,36,Completed,0.22491,0.2,HR,Debt Consolidation,AK,Professional,Full-time,"$75,000-99,999",6250.0,1500,2010-01-20,55.75,2010
768,36,Completed,0.37733,0.35,HR,Home Improvement,OH,Police Officer/Correction Officer,Full-time,"$50,000-74,999",4916.666667,1500,2009-11-27,67.85,2009
777,60,non-remittance,0.12992,0.1076,AA,Debt Consolidation,CA,Other,Employed,"$25,000-49,999",3791.666667,10000,2012-10-30,216.23,2012
780,36,Completed,0.33097,0.295,D,Other,TX,Teacher,Employed,"$25,000-49,999",3500.0,2500,2010-12-20,105.45,2010
784,36,non-remittance,0.15375,0.1254,A,Debt Consolidation,MO,Tradesman - Mechanic,Employed,"$50,000-74,999",4250.0,5000,2011-12-20,167.36,2011
789,36,non-remittance,0.35643,0.3199,HR,Business,OH,Engineer - Mechanical,Self-employed,"$50,000-74,999",5750.0,3151,2011-06-24,137.21,2011
792,36,non-remittance,0.2706,0.2324,D,Other,OH,Professional,Employed,"$50,000-74,999",5416.666667,15000,2012-10-02,582.52,2012
803,60,Completed,0.31375,0.287,D,Household Expenses,CO,Other,Employed,"$75,000-99,999",8250.0,9500,2012-07-19,299.82,2012
804,36,Completed,0.30532,0.2699,D,Other,KS,Other,Employed,"$25,000-49,999",3833.333333,2000,2011-06-27,81.64,2011
809,36,Completed,0.11296,0.092,A,Home Improvement,TX,Professional,Full-time,"$25,000-49,999",2583.333333,3000,2010-06-25,95.68,2010
810,60,Completed,0.23318,0.2085,B,Debt Consolidation,HI,Retail Management,Employed,"$25,000-49,999",3500.0,7000,2012-06-27,188.78,2012
818,36,Completed,0.2837,0.2452,D,Taxes,GA,Other,Other,"$1-24,999",2000.0,2000,2012-02-29,79.01,2012
839,36,Completed,0.23682,0.199,C,Other,OH,Professional,Full-time,"$50,000-74,999",5416.666667,1000,2010-07-26,37.11,2010
845,60,Completed,0.13942,0.1169,A,Debt Consolidation,NY,Sales - Commission,Self-employed,"$50,000-74,999",5000.0,10000,2013-07-26,220.88,2013
846,36,Completed,0.27306,0.25,B,Business,TX,Social Worker,Employed,"$25,000-49,999",3166.666667,15000,2010-11-30,596.4,2010
847,36,Completed,0.13271,0.1115,A,Debt Consolidation,MA,Executive,Employed,"$100,000+",25000.0,10000,2010-09-30,328.1,2010
849,36,Completed,0.07439,0.071,AA,Debt Consolidation,UT,Student - College Senior,Part-time,"$1-24,999",800.0,1000,2010-07-20,30.92,2010
855,36,Completed,0.30532,0.2699,D,Debt Consolidation,NJ,Retail Management,Employed,"$50,000-74,999",4750.0,12000,2011-07-18,489.84,2011
858,36,Completed,0.21122,0.189,C,Home Improvement,IL,Teacher,Full-time,"$50,000-74,999",6000.0,10000,2009-08-10,366.05,2009
861,36,Completed,0.09736,0.0839,AA,Debt Consolidation,GA,Engineer - Mechanical,Employed,"$100,000+",8375.0,6000,2012-09-28,189.1,2012
876,36,Completed,0.15538,0.127,A,Engagement Ring,CA,Police Officer/Correction Officer,Employed,"$100,000+",8333.333333,12500,2012-04-26,419.37,2012
878,36,Completed,0.31627,0.277,E,Vacation,TX,Other,Employed,"$50,000-74,999",6000.0,3000,2012-10-02,123.61,2012
881,36,non-remittance,0.35132,0.3149,E,Business,GA,Other,Employed,"$100,000+",12000.0,6000,2011-11-03,259.63,2011
885,36,Completed,0.19108,0.1621,B,Large Purchases,OR,Skilled Labor,Employed,"$1-24,999",1690.416667,2000,2012-01-13,70.52,2012
893,36,non-remittance,0.27467,0.2399,D,Other,OH,Nurse (LPN),Full-time,"$25,000-49,999",4130.416667,2200,2011-07-22,86.3,2011
895,36,non-remittance,0.35797,0.3177,HR,Household Expenses,FL,Food Service,Self-employed,"$1-24,999",14.583333,4000,2012-02-02,173.71,2012
898,36,Completed,0.32576,0.2899,E,Debt Consolidation,CA,Professional,Employed,"$100,000+",9166.666667,7500,2011-05-19,314.25,2011
904,36,Completed,0.08882,0.0854,AA,Debt Consolidation,CA,Analyst,Employed,"$75,000-99,999",7750.0,7900,2011-10-27,249.53,2011
913,12,Completed,0.05927,0.0499,AA,Other,VA,Computer Programmer,Employed,"$100,000+",10833.333333,5000,2011-02-25,428.01,2011
923,36,Completed,0.17069,0.149,B,Home Improvement,TN,Accountant/CPA,Employed,"$25,000-49,999",4083.333333,7500,2010-12-01,240.77,2010
939,36,Completed,0.2951,0.2599,D,Debt Consolidation,OH,Laborer,Employed,"$25,000-49,999",3833.333333,3000,2011-04-29,120.86,2011
